PSDI_ID,Canonical name,InChi,InChiKey,SMILES,Tautomers,Isomers,n_MeltingPoint,n_BoilingPoint,n_HLC,n_LogS,n_Miscibility,Molecular Weight,CLogP,Heavy Atom Count,Hydrogen Bond Acceptors,Hydrogen Bond Donors,Rotatable Bonds,Rings,Hetero Aromatic Rings,Aromatic Rings,Topological Polar Surface Area,Quantitative Estimation of Drug-likeness
PSDI002958,,"InChI=1S/C3H2ClF5O/c4-1(3(7,8)9)10-2(5)6/h1-2H",PIWKPBJCKXDKJR-UHFFFAOYSA-N,FC(F)OC(Cl)C(F)(F)F,1,2,0,1,1,1,0,183.97,2.35,10.0,1.0,0.0,2.0,0.0,0.0,0.0,9.23,0.47
PSDI002966,,"InChI=1S/C3H7NO3/c1-3(2)7-4(5)6/h3H,1-2H3",GAPFWGOSHOCNBM-UHFFFAOYSA-N,CC(C)O[N+](=O)[O-],1,1,0,1,1,1,0,105.04,0.6,7.0,3.0,0.0,2.0,0.0,0.0,0.0,52.37,0.38
PSDI00297A,,"InChI=1S/C7H7ClO/c1-9-7-4-2-3-6(8)5-7/h2-5H,1H3",YUKILTJWFRTXGB-UHFFFAOYSA-N,COc1cccc(Cl)c1,1,1,0,1,1,2,0,142.02,2.35,9.0,1.0,0.0,1.0,1.0,0.0,1.0,9.23,0.59
PSDI0029BA,,"InChI=1S/C6H12O2/c1-3-4-5-6(7)8-2/h3-5H2,1-2H3",HNBDRPTVWVGKBR-UHFFFAOYSA-N,CCCCC(=O)OC,2,1,0,1,1,2,7,116.08,1.35,8.0,2.0,0.0,3.0,0.0,0.0,0.0,26.3,0.52
PSDI0029BF,,"InChI=1S/C3H3F3O2/c1-8-2(7)3(4,5)6/h1H3",VMVNZNXAVJHNDJ-UHFFFAOYSA-N,COC(=O)C(F)(F)F,1,1,0,1,1,1,0,128.01,0.72,8.0,2.0,0.0,0.0,0.0,0.0,0.0,26.3,0.45
PSDI0029C4,,"InChI=1S/C9H17NOS/c1-2-12-9(11)10-7-5-3-4-6-8-10/h2-8H2,1H3",DEDOPGXGGQYYMW-UHFFFAOYSA-N,CCSC(=O)N1CCCCCC1,1,1,0,1,1,1,0,187.1,2.74,12.0,2.0,0.0,1.0,1.0,0.0,0.0,20.31,0.63
PSDI0029E6,,"InChI=1S/C5H11NO/c1-6-2-4-7-5-3-6/h2-5H2,1H3",SJRJJKPEHAURKC-UHFFFAOYSA-N,CN1CCOCC1,1,1,0,1,1,1,0,101.08,-0.05,7.0,2.0,0.0,0.0,1.0,0.0,0.0,12.47,0.42
PSDI0029EA,,"InChI=1S/C8H18N2O/c1-3-5-7-10(9-11)8-6-4-2/h3-8H2,1-2H3",YGJHZCLPZAZIHH-UHFFFAOYSA-N,CCCCN(CCCC)N=O,1,1,0,1,1,1,0,158.14,2.57,11.0,2.0,0.0,7.0,0.0,0.0,0.0,32.67,0.42
PSDI0029EC,,"InChI=1S/C4H10N2O/c1-3-6(4-2)5-7/h3-4H2,1-2H3",WBNQDOYYEUMPFS-UHFFFAOYSA-N,CCN(CC)N=O,1,1,0,1,1,1,0,102.08,1.01,7.0,2.0,0.0,3.0,0.0,0.0,0.0,32.67,0.39
PSDI0029ED,,InChI=1S/C2H6N2O/c1-4(2)3-5/h1-2H3,UMFJAHHVKNCGLG-UHFFFAOYSA-N,CN(C)N=O,1,1,0,1,1,1,0,74.05,0.23,5.0,2.0,0.0,1.0,0.0,0.0,0.0,32.67,0.33
