PSDI_ID,Canonical name,InChi,InChiKey,SMILES,Tautomers,Isomers,n_MeltingPoint,n_BoilingPoint,n_HLC,n_LogS,n_Miscibility,Molecular Weight,CLogP,Heavy Atom Count,Hydrogen Bond Acceptors,Hydrogen Bond Donors,Rotatable Bonds,Rings,Hetero Aromatic Rings,Aromatic Rings,Topological Polar Surface Area,Quantitative Estimation of Drug-likeness
PSDI0006B0,,"InChI=1S/C6H14O/c1-4-5-6(2,3)7/h7H,4-5H2,1-3H3",WFRBDWRZVBPBDO-UHFFFAOYSA-N,CCCC(C)(C)O,1,1,1,1,0,3,3,102.1,1.56,7.0,1.0,1.0,2.0,0.0,0.0,0.0,20.23,0.56
PSDI0006DB,,"InChI=1S/C4H10/c1-4(2)3/h4H,1-3H3",NNPPMTNAJDCUHE-UHFFFAOYSA-N,CC(C)C,1,1,1,1,1,4,9,58.08,1.66,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
PSDI0007AE,,"InChI=1S/C6H12O/c1-5(7)6(2,3)4/h1-4H3",PJGSXYOJTGTZAV-UHFFFAOYSA-N,CC(=O)C(C)(C)C,2,1,1,1,1,2,6,100.09,1.62,7.0,1.0,0.0,0.0,0.0,0.0,0.0,17.07,0.45
PSDI00080F,,"InChI=1S/C3H5Br/c1-2-3-4/h2H,1,3H2",BHELZAPQIKSEDF-UHFFFAOYSA-N,C=CCBr,1,1,1,1,0,1,1,119.96,1.57,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.36
PSDI00083A,,"InChI=1S/C3H5Cl/c1-2-3-4/h2H,1,3H2",OSDWBNJEKMUWAV-UHFFFAOYSA-N,C=CCCl,1,1,1,1,1,2,3,76.01,1.41,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.33
PSDI00085A,,"InChI=1S/C7H14O/c1-3-5-6-7(8)4-2/h3-6H2,1-2H3",NGAZZOYFWWSOGK-UHFFFAOYSA-N,CCCCC(=O)CC,3,1,1,1,0,2,10,114.1,2.16,8.0,1.0,0.0,4.0,0.0,0.0,0.0,17.07,0.55
PSDI00085E,,"InChI=1S/C6H12O/c1-3-5-6(7)4-2/h3-5H2,1-2H3",PFCHFHIRKBAQGU-UHFFFAOYSA-N,CCCC(=O)CC,3,1,1,1,1,2,3,100.09,1.77,7.0,1.0,0.0,3.0,0.0,0.0,0.0,17.07,0.53
PSDI000A2B,,"InChI=1S/C7H14O/c1-6(2)4-5-7(3)8/h6H,4-5H2,1-3H3",FFWSICBKRCICMR-UHFFFAOYSA-N,CC(=O)CCC(C)C,3,1,1,1,0,2,8,114.1,2.01,8.0,1.0,0.0,3.0,0.0,0.0,0.0,17.07,0.55
PSDI000AC8,,"InChI=1S/C13H10/c1-3-7-12-10(5-1)9-11-6-2-4-8-13(11)12/h1-8H,9H2",NIHNNTQXNPWCJQ-UHFFFAOYSA-N,c1ccc2c(c1)Cc1ccccc1-2,1,1,1,1,1,3,255,166.08,3.26,13.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.48
PSDI000AE2,,"InChI=1S/C12H10/c1-3-9-4-2-6-11-8-7-10(5-1)12(9)11/h1-6H,7-8H2",CWRYPZZKDGJXCA-UHFFFAOYSA-N,c1cc2c3c(cccc3c1)CC2,1,1,1,1,1,3,201,154.08,2.94,12.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.55
PSDI000B0B,,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,2,1,1,1,1,2,100,60.02,0.09,4.0,1.0,1.0,0.0,0.0,0.0,0.0,37.3,0.43
PSDI000B27,,"InChI=1S/C6H10O3/c1-3-9-6(8)4-5(2)7/h3-4H2,1-2H3",XYIBRDXRRQCHLP-UHFFFAOYSA-N,CCOC(=O)CC(C)=O,5,1,1,1,1,1,2,130.06,0.53,9.0,3.0,0.0,3.0,0.0,0.0,0.0,43.37,0.41
PSDI000B2D,,InChI=1S/C2H3N/c1-2-3/h1H3,WEVYAHXRMPXWCK-UHFFFAOYSA-N,CC#N,1,1,1,1,1,3,348,41.03,0.53,3.0,1.0,0.0,0.0,0.0,0.0,0.0,23.79,0.39
PSDI000B4D,,InChI=1S/C13H9N/c1-3-7-12-10(5-1)9-11-6-2-4-8-13(11)14-12/h1-9H,DZBUGLKDJFMEHC-UHFFFAOYSA-N,c1ccc2nc3ccccc3cc2c1,1,1,1,1,0,2,35,179.07,3.39,14.0,1.0,0.0,0.0,3.0,1.0,3.0,12.89,0.48
PSDI000BF4,,InChI=1S/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,MWPLVEDNUUSJAV-UHFFFAOYSA-N,c1ccc2cc3ccccc3cc2c1,1,1,1,1,1,5,176,178.08,3.99,14.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.46
PSDI000CC9,,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,UHOVQNZJYSORNB-UHFFFAOYSA-N,c1ccccc1,1,1,1,1,1,2,340,78.05,1.69,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.44
PSDI000DC8,,InChI=1S/C20H12/c1-2-7-17-15(4-1)12-16-9-8-13-5-3-6-14-10-11-18(17)20(16)19(13)14/h1-12H,FMMWHPNWAFZXNH-UHFFFAOYSA-N,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,1,1,1,1,1,3,1,252.09,5.74,20.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.24
PSDI000DCF,,InChI=1S/C22H12/c1-3-13-7-9-15-11-12-16-10-8-14-4-2-6-18-17(5-1)19(13)21(15)22(16)20(14)18/h1-12H,GYFAGKUZYNFMBN-UHFFFAOYSA-N,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,1,1,1,1,1,3,6,276.09,6.33,22.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.22
PSDI000E75,,"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",WVDDGKGOMKODPV-UHFFFAOYSA-N,OCc1ccccc1,1,1,1,1,1,3,3,108.06,1.18,8.0,1.0,1.0,1.0,1.0,0.0,1.0,20.23,0.57
PSDI000EB1,,InChI=1S/C12H10/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h1-10H,ZUOUZKKEUPVFJK-UHFFFAOYSA-N,c1ccc(-c2ccccc2)cc1,1,1,1,1,1,3,147,154.08,3.35,12.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.59
PSDI000FBC,,"InChI=1S/C12H9N/c1-3-7-11-9(5-1)10-6-2-4-8-12(10)13-11/h1-8,13H",UJOBWOGCFQCDNV-UHFFFAOYSA-N,c1ccc2c(c1)[nH]c1ccccc12,1,1,1,1,1,5,74,167.07,3.32,13.0,0.0,1.0,0.0,3.0,1.0,3.0,15.79,0.53
PSDI000FC9,,InChI=1S/C3H6O3/c1-5-3(4)6-2/h1-2H3,IEJIGPNLZYLLBP-UHFFFAOYSA-N,COC(=O)OC,1,1,1,1,1,1,6,90.03,0.4,6.0,3.0,0.0,0.0,0.0,0.0,0.0,35.53,0.4
PSDI00102A,,"InChI=1S/C2H5Cl/c1-2-3/h2H2,1H3",HRYZWHHZPQKTII-UHFFFAOYSA-N,CCCl,1,1,1,1,1,2,6,64.01,1.25,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
PSDI00102C,,InChI=1S/CHCl3/c2-1(3)4/h1H,HEDRZPFGACZZDS-UHFFFAOYSA-N,ClC(Cl)Cl,1,1,1,1,1,3,720,117.91,1.99,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
PSDI001061,,InChI=1S/C18H12/c1-3-7-15-13(5-1)9-11-18-16-8-4-2-6-14(16)10-12-17(15)18/h1-12H,WDECIBYCCFPHNR-UHFFFAOYSA-N,c1ccc2c(c1)ccc1c3ccccc3ccc21,1,1,1,1,1,2,4,228.09,5.15,18.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.37
PSDI001106,,"InChI=1S/C6H13N/c7-6-4-2-1-3-5-6/h6H,1-5,7H2",PAFZNILMFXTMIY-UHFFFAOYSA-N,NC1CCCCC1,1,1,1,1,1,1,1,99.1,1.28,7.0,1.0,1.0,0.0,1.0,0.0,0.0,26.02,0.49
PSDI001109,,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,XDTMQSROBMDMFD-UHFFFAOYSA-N,C1CCCCC1,1,1,1,1,1,3,59,84.09,2.34,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.42
PSDI001125,,"InChI=1S/C6H12O/c7-6-4-2-1-3-5-6/h6-7H,1-5H2",HPXRVTGHNJAIIH-UHFFFAOYSA-N,OC1CCCCC1,1,1,1,1,1,3,23,100.09,1.31,7.0,1.0,1.0,0.0,1.0,0.0,0.0,20.23,0.49
PSDI001130,,InChI=1S/C6H10O/c7-6-4-2-1-3-5-6/h1-5H2,JHIVVAPYMSGYDF-UHFFFAOYSA-N,O=C1CCCCC1,2,1,1,1,1,4,6,98.07,1.52,7.0,1.0,0.0,0.0,1.0,0.0,0.0,17.07,0.45
PSDI0011CB,,"InChI=1S/C10H20O2/c1-2-3-4-5-6-7-8-9-10(11)12/h2-9H2,1H3,(H,11,12)",GHVNFZFCNZKVNT-UHFFFAOYSA-N,CCCCCCCCCC(=O)O,2,1,1,1,0,1,193,172.15,3.21,12.0,1.0,1.0,8.0,0.0,0.0,0.0,37.3,0.57
PSDI001218,,"InChI=1S/C6H11N/c1-3-5-7-6-4-2/h3-4,7H,1-2,5-6H2",DYUWTXWIYMHBQS-UHFFFAOYSA-N,C=CCNCC=C,1,1,1,1,0,2,11,97.09,0.95,7.0,1.0,1.0,4.0,0.0,0.0,0.0,12.03,0.41
