PSDI_ID,Canonical name,InChi,InChiKey,SMILES,Tautomers,Isomers,n_MeltingPoint,n_BoilingPoint,n_HLC,n_LogS,n_Miscibility,Molecular Weight,CLogP,Heavy Atom Count,Hydrogen Bond Acceptors,Hydrogen Bond Donors,Rotatable Bonds,Rings,Hetero Aromatic Rings,Aromatic Rings,Topological Polar Surface Area,Quantitative Estimation of Drug-likeness
PSDI000D79,,"InChI=1S/C10H12O2/c1-2-12-10(11)8-9-6-4-3-5-7-9/h3-7H,2,8H2,1H3",DULCUDSUACXJJC-UHFFFAOYSA-N,CCOC(=O)Cc1ccccc1,2,1,1,1,0,1,0,164.08,1.79,12.0,2.0,0.0,3.0,1.0,0.0,1.0,26.3,0.64
PSDI000D7B,,InChI=1S/C8H5NO/c9-6-8(10)7-4-2-1-3-5-7/h1-5H,GJQBHOAJJGIPRH-UHFFFAOYSA-N,N#CC(=O)c1ccccc1,1,1,1,1,0,0,0,131.04,1.39,10.0,2.0,0.0,1.0,1.0,0.0,1.0,40.86,0.43
PSDI000D7E,,"InChI=1S/C9H9N/c1-8-2-4-9(5-3-8)6-7-10/h2-5H,6H2,1H3",RNHKXHKUKJXLAU-UHFFFAOYSA-N,Cc1ccc(CC#N)cc1,1,1,1,1,0,0,0,131.07,2.06,10.0,1.0,0.0,1.0,1.0,0.0,1.0,23.79,0.57
PSDI000D84,,"InChI=1S/C10H14O/c1-10(2,11)8-9-6-4-3-5-7-9/h3-7,11H,8H2,1-2H3",RIWRBSMFKVOJMN-UHFFFAOYSA-N,CC(C)(O)Cc1ccccc1,1,1,1,1,0,0,0,150.1,2.0,11.0,1.0,1.0,2.0,1.0,0.0,1.0,20.23,0.68
PSDI000D87,,"InChI=1S/C9H12O/c1-8-4-2-3-5-9(8)6-7-10/h2-5,10H,6-7H2,1H3",RUGISKODRCWQNE-UHFFFAOYSA-N,Cc1ccccc1CCO,1,1,1,1,0,1,0,136.09,1.53,10.0,1.0,1.0,2.0,1.0,0.0,1.0,20.23,0.65
PSDI000D88,,"InChI=1S/C8H9NO3/c10-6-5-7-3-1-2-4-8(7)9(11)12/h1-4,10H,5-6H2",SLRIOXRBAPBGEI-UHFFFAOYSA-N,O=[N+]([O-])c1ccccc1CCO,1,1,1,1,0,0,0,167.06,1.13,12.0,3.0,1.0,3.0,1.0,0.0,1.0,63.37,0.54
PSDI000D89,,"InChI=1S/C8H11N/c1-7-4-2-3-5-8(7)6-9/h2-5H,6,9H2,1H3",CJAAPVQEZPAQNI-UHFFFAOYSA-N,Cc1ccccc1CN,1,1,1,1,0,0,0,121.09,1.45,9.0,1.0,1.0,1.0,1.0,0.0,1.0,26.02,0.6
PSDI000D8A,,"InChI=1S/C8H11N/c1-7-2-4-8(6-9)5-3-7/h2-5H,6,9H2,1H3",HMTSWYPNXFHGEP-UHFFFAOYSA-N,Cc1ccc(CN)cc1,1,1,1,1,0,0,0,121.09,1.45,9.0,1.0,1.0,1.0,1.0,0.0,1.0,26.02,0.6
PSDI000D8B,,"InChI=1S/C21H21N/c1-4-10-19(11-5-1)16-22(17-20-12-6-2-7-13-20)18-21-14-8-3-9-15-21/h1-15H,16-18H2",MXHTZQSKTCCMFG-UHFFFAOYSA-N,c1ccc(CN(Cc2ccccc2)Cc2ccccc2)cc1,1,1,1,1,0,0,0,287.17,4.89,22.0,1.0,0.0,6.0,3.0,0.0,3.0,3.24,0.62
PSDI000D8C,,"InChI=1S/C15H17N/c1-2-16(15-11-7-4-8-12-15)13-14-9-5-3-6-10-14/h3-12H,2,13H2,1H3",HSZCJVZRHXPCIA-UHFFFAOYSA-N,CCN(Cc1ccccc1)c1ccccc1,1,1,1,1,0,0,0,211.14,3.71,16.0,1.0,0.0,4.0,2.0,0.0,2.0,3.24,0.74
PSDI000D8F,,"InChI=1S/C7H8S/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",UENWRTRMUIOCKN-UHFFFAOYSA-N,SCc1ccccc1,1,1,1,1,0,0,0,124.03,2.12,8.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.54
PSDI000D92,,"InChI=1S/C10H10O/c1-3-10(2,11)9-7-5-4-6-8-9/h1,4-8,11H,2H3",KSLSOBUAIFEGLT-UHFFFAOYSA-N,C#CC(C)(O)c1ccccc1,1,2,1,1,0,0,0,146.07,1.53,11.0,1.0,1.0,1.0,1.0,0.0,1.0,20.23,0.6
PSDI000D95,,"InChI=1S/C7H9NO/c8-7-4-2-1-3-6(7)5-9/h1-4,9H,5,8H2",VYFOAVADNIHPTR-UHFFFAOYSA-N,Nc1ccccc1CO,1,1,1,1,0,0,0,123.07,0.76,9.0,2.0,2.0,1.0,1.0,0.0,1.0,46.25,0.54
PSDI000D96,,"InChI=1S/C7H7ClO/c8-7-4-2-1-3-6(7)5-9/h1-4,9H,5H2",MBYQPPXEXWRMQC-UHFFFAOYSA-N,OCc1ccccc1Cl,1,1,1,1,0,0,0,142.02,1.83,9.0,1.0,1.0,1.0,1.0,0.0,1.0,20.23,0.63
PSDI000D97,,"InChI=1S/C8H10O/c1-7-4-2-3-5-8(7)6-9/h2-5,9H,6H2,1H3",XPNGNIFUDRPBFJ-UHFFFAOYSA-N,Cc1ccccc1CO,1,1,1,1,0,1,0,122.07,1.49,9.0,1.0,1.0,1.0,1.0,0.0,1.0,20.23,0.6
